month,satisfaction_score,complaints,avg_resolution_days,retention_rate,digital_adoption,nps
2024-01-01,64.5,1440,6.2,0.766,0.099,23.9
2024-02-01,68.4,1295,5.9,0.774,0.091,23.8
2024-03-01,73.9,1426,4.8,0.771,0.124,24.1
2024-04-01,72.5,1309,5.3,0.792,0.156,27.7
2024-05-01,70.0,1412,5.3,0.819,0.184,29.6
2024-06-01,74.6,1256,5.3,0.817,0.229,31.3
2024-07-01,77.5,1271,4.5,0.813,0.304,36.2
2024-08-01,75.1,1278,4.4,0.809,0.328,22.3
2024-09-01,77.0,1174,4.3,0.834,0.323,33.1
2024-10-01,81.7,1035,3.6,0.843,0.287,30.3
2024-11-01,75.2,1108,4.6,0.814,0.306,46.7
2024-12-01,72.5,1163,3.7,0.837,0.367,45.9
2025-01-01,78.2,1060,3.9,0.824,0.334,38.7
2025-02-01,80.4,940,3.5,0.856,0.425,34.8
2025-03-01,75.4,923,4.1,0.842,0.472,39.9
2025-04-01,80.1,1091,2.8,0.845,0.462,45.9
2025-05-01,76.2,988,3.9,0.88,0.444,49.1
2025-06-01,78.7,944,2.7,0.884,0.469,52.3
2025-07-01,82.1,909,2.3,0.882,0.569,60.2
2025-08-01,87.3,1115,3.1,0.885,0.613,44.7
2025-09-01,81.9,932,2.0,0.899,0.572,60.4
2025-10-01,82.6,716,2.7,0.925,0.593,56.6
2025-11-01,88.8,805,1.5,0.905,0.679,71.3
2025-12-01,89.9,722,2.0,0.898,0.687,57.9
