provider_id,provider_name,provider_type,state,active_members,satisfaction_score,utilization_rate,claims_submitted,reimbursement_days,performance_score
MH-PROV-0001,MetroHealth Partner Provider 1,Pharmacy,Lagos,2348,70.4,62.2,3505,2.3,76.1
MH-PROV-0002,MetroHealth Partner Provider 2,Pharmacy,Rivers,2348,56.6,70.5,5918,15.0,69.3
MH-PROV-0003,MetroHealth Partner Provider 3,Pharmacy,Rivers,1465,92.5,61.3,3540,10.4,82.3
MH-PROV-0004,MetroHealth Partner Provider 4,Specialist Center,Oyo,1292,81.6,80.9,4321,13.0,83.0
MH-PROV-0005,MetroHealth Partner Provider 5,Hospital,Kano,5355,81.2,58.6,4789,13.9,75.9
MH-PROV-0006,MetroHealth Partner Provider 6,Hospital,Lagos,3678,83.5,74.2,308,7.3,83.5
MH-PROV-0007,MetroHealth Partner Provider 7,Clinic,Lagos,1549,77.3,72.5,3137,5.5,81.0
MH-PROV-0008,MetroHealth Partner Provider 8,Hospital,Lagos,4900,76.5,65.7,4999,23.9,73.1
MH-PROV-0009,MetroHealth Partner Provider 9,Hospital,Kano,4660,82.7,64.8,5404,4.5,81.2
MH-PROV-0010,MetroHealth Partner Provider 10,Hospital,Abuja,5815,67.1,79.7,5020,7.9,78.4
MH-PROV-0011,MetroHealth Partner Provider 11,Hospital,Lagos,854,86.3,67.2,2186,17.7,79.4
MH-PROV-0012,MetroHealth Partner Provider 12,Hospital,Kano,5617,80.0,31.7,2480,12.6,67.7
MH-PROV-0013,MetroHealth Partner Provider 13,Clinic,Oyo,2015,68.4,55.2,5557,8.9,71.2
MH-PROV-0014,MetroHealth Partner Provider 14,Clinic,Kano,4184,83.8,66.2,1637,11.0,80.1
MH-PROV-0015,MetroHealth Partner Provider 15,Clinic,Rivers,3249,87.8,60.1,1687,15.4,78.5
MH-PROV-0016,MetroHealth Partner Provider 16,Hospital,Lagos,1323,62.2,57.4,1025,16.1,67.3
MH-PROV-0017,MetroHealth Partner Provider 17,Pharmacy,Rivers,2171,72.1,53.9,3372,10.5,71.9
MH-PROV-0018,MetroHealth Partner Provider 18,Hospital,Abuja,3338,77.5,77.5,2646,9.5,81.4
MH-PROV-0019,MetroHealth Partner Provider 19,Clinic,Abuja,5743,87.7,64.2,5034,17.3,79.2
MH-PROV-0020,MetroHealth Partner Provider 20,Hospital,Oyo,5329,85.9,46.3,4135,18.1,72.8
MH-PROV-0021,MetroHealth Partner Provider 21,Clinic,Lagos,4703,82.4,72.2,3552,1.0,84.3
MH-PROV-0022,MetroHealth Partner Provider 22,Clinic,Lagos,5947,91.4,85.0,5308,10.9,88.8
MH-PROV-0023,MetroHealth Partner Provider 23,Clinic,Kano,1482,85.3,91.2,4314,5.9,89.7
MH-PROV-0024,MetroHealth Partner Provider 24,Hospital,Oyo,6085,93.5,52.8,5693,18.9,77.6
MH-PROV-0025,MetroHealth Partner Provider 25,Laboratory,Lagos,6258,74.7,49.6,1207,11.9,71.2
MH-PROV-0026,MetroHealth Partner Provider 26,Pharmacy,Abuja,1023,80.2,45.5,5559,8.9,73.1
MH-PROV-0027,MetroHealth Partner Provider 27,Clinic,Abuja,2209,76.6,66.0,1710,15.7,75.7
MH-PROV-0028,MetroHealth Partner Provider 28,Hospital,Lagos,4341,76.3,73.9,5889,14.6,78.3
MH-PROV-0029,MetroHealth Partner Provider 29,Specialist Center,Kano,6426,97.8,33.0,4023,8.1,76.6
MH-PROV-0030,MetroHealth Partner Provider 30,Hospital,Kano,5359,83.3,79.2,5979,2.8,86.2
MH-PROV-0031,MetroHealth Partner Provider 31,Hospital,Abuja,420,87.8,80.7,5612,15.4,84.7
MH-PROV-0032,MetroHealth Partner Provider 32,Clinic,Abuja,873,77.6,73.5,5555,12.1,79.5
MH-PROV-0033,MetroHealth Partner Provider 33,Hospital,Lagos,2105,82.3,37.4,1018,22.3,67.4
MH-PROV-0034,MetroHealth Partner Provider 34,Pharmacy,Abuja,3822,78.3,50.0,971,12.5,72.6
