month,ndpr_score,nhia_score,audit_findings,security_incidents,operational_risk,overall_risk_score
2024-01-01,61.8,69.8,17,7,High,58.2
2024-02-01,65.4,63.4,21,8,Medium,64.6
2024-03-01,62.1,66.8,11,13,Medium,59.6
2024-04-01,66.5,70.6,16,11,High,58.4
2024-05-01,65.6,69.8,14,13,Low,59.3
2024-06-01,72.4,72.3,13,10,High,50.7
2024-07-01,74.6,77.7,12,9,Low,44.8
2024-08-01,73.0,75.2,12,10,Medium,47.9
2024-09-01,71.1,79.3,13,7,Medium,44.8
2024-10-01,72.6,77.2,12,11,Medium,48.1
2024-11-01,69.2,73.7,15,7,Low,50.6
2024-12-01,76.7,84.7,11,7,Low,37.3
2025-01-01,76.1,82.3,7,5,Low,32.8
2025-02-01,86.8,86.3,10,7,Medium,30.4
2025-03-01,75.2,82.8,9,8,Medium,38.0
2025-04-01,77.7,84.8,7,8,Low,33.8
2025-05-01,86.2,88.4,8,2,Medium,22.7
2025-06-01,72.2,91.1,5,3,High,26.3
2025-07-01,83.5,88.4,9,5,Medium,28.0
2025-08-01,89.2,89.6,6,1,Low,17.6
2025-09-01,84.8,94.5,6,5,Low,21.3
2025-10-01,86.6,92.0,5,1,Low,16.7
2025-11-01,91.5,93.2,9,3,Low,19.7
2025-12-01,89.3,91.2,4,3,Low,16.8
