month,revenue,claims_cost,operating_cost,profit,cost_per_claim,roi
2024-01-01,771751428.15,752340478.44,152856981.62,-133446031.91,35605.32,0.102
2024-02-01,880404700.95,688708763.42,192669951.54,-974014.01,35068.42,0.056
2024-03-01,778448931.96,759846266.45,155698227.24,-137095561.73,36059.52,0.188
2024-04-01,982215698.69,729161909.12,181630740.38,71423049.19,35361.88,0.22
2024-05-01,869942110.93,736858340.51,187062396.83,-53978626.41,35236.15,0.115
2024-06-01,990491046.93,724980944.86,199744532.95,65765569.12,35594.12,0.191
2024-07-01,939186384.27,758592412.59,175277239.85,5316731.83,35494.69,0.183
2024-08-01,964610566.17,748321603.28,148443192.21,67845770.68,35150.62,0.171
2024-09-01,1105593710.25,728964444.76,188113679.26,188515586.23,35964.5,0.169
2024-10-01,1122747161.65,752419516.81,194285796.36,176041848.48,35311.6,0.121
2024-11-01,1072080638.93,724334017.67,163063521.68,184683099.58,35131.15,0.2
2024-12-01,1125265228.43,764080340.15,226896677.55,134288210.73,35656.37,0.178
2025-01-01,1132480970.23,765148718.31,227687401.12,139644850.8,35667.94,0.245
2025-02-01,1115770823.05,680606535.04,196567853.66,238596434.35,35422.43,0.199
2025-03-01,1264974798.71,751781938.59,271627986.44,241564873.68,35622.72,0.323
2025-04-01,1272490555.65,731670480.21,277747844.78,263072230.66,35673.84,0.12
2025-05-01,1315456723.76,759484512.32,266739654.82,289232556.62,35673.3,0.191
2025-06-01,1317535373.81,738292003.65,243730776.29,335512593.87,35520.42,0.084
2025-07-01,1290920904.04,763997578.79,241842231.93,285081093.32,35838.15,0.203
2025-08-01,1373073435.63,748096778.08,294186771.66,330789885.89,35192.96,0.126
2025-09-01,1407181099.89,732352580.58,237877859.13,436950660.18,35521.78,0.263
2025-10-01,1400388634.79,760655019.87,218882354.28,420851260.64,35918.92,0.262
2025-11-01,1428267676.2,727511698.36,239813685.29,460942292.55,35732.4,0.11
2025-12-01,1407281672.27,747879978.57,220990884.42,438410809.28,35800.86,0.106
